slug,name,district,official_url,instagram_url,address_if_real,latitude,longitude,source_url,source_type,status,note
dala-spa-at-alaya-resort-ubud,DaLa Spa at Alaya Resort Ubud,ubud,https://www.alayaresort.com/ubud/spa/,https://www.instagram.com/dalaspa/,,,,,,,
dala-spa-beauty-at-alaya-ubud-ubud,DaLa Spa Beauty at Alaya Ubud,ubud,https://alayahotels.com/alayaresortubud/dala-spa/,https://www.instagram.com/dalaspa/,,,,,,,
fair-warung-bale,Fair Warung Balé,ubud,https://fairwarungbale.shop/,https://www.instagram.com/fairwarungbaleubud/,,,,,,,
gelato-secrets-ubud,Gelato Secrets Ubud,ubud,https://gelatosecrets.com/,https://www.instagram.com/gelatosecrets/,,,,,,,
habitat-bistro,Habitat Bistro,ubud,http://thewonderspace.com/habitatbistroubud/,https://www.instagram.com/habitatbistroubud/,,,,,,,
heart-space-bali,Heart Space Bali,ubud,https://www.heartspacebali.com/,https://www.instagram.com/heartspace.bali/,Jl. Nyuh Kuning No. 1;  MAS;  Ubud;  Gianyar 80571,,,,,,
intuitive-flow,Intuitive Flow,ubud,https://intuitiveflow.com/,https://www.instagram.com/intuitive_flow_yogastudio/,,,,,,,
jaens-spa,Jaens Spa,ubud,https://jaensspa.com/,https://www.instagram.com/jaensspa/,Jl. Raya Pengosekan;  Ubud (multiple outlets near Monkey Forest),,,,,,
jaens-spa-ubud-ubud,Jaens Spa Ubud,ubud,https://jaensspa.com/,https://www.instagram.com/jaensspatriloka/,,,,,,,
karsa-spa,Karsa Spa,ubud,https://karsaspa.com/,https://www.instagram.com/karsaspa/,,,,,,,
kojin-teppanyaki-restaurant-ubud-by-wonderspace,Kojin Teppanyaki Restaurant Ubud by Wonderspace,ubud,http://thewonderspace.com/kojinbali/,https://www.instagram.com/kojinbali/,,,,,,,
kush-ayurveda-yoga-barn,KUSH Ayurvedic Rejuvenation Spa at The Yoga Barn,ubud,https://theyogabarn.com/,,Jl. Sukma / Pengosekan;  at The Yoga Barn;  Ubud,,,,,,
la-portal-to-shamballah,La Portal to Shamballah,ubud,https://www.laportaltoshamballah.com/,https://www.instagram.com/laportal.shamballah.ubud/,,,,,,,
laka-leke,Laka Leke,ubud,https://www.lakaleke.com/,https://www.instagram.com/lakalekerestaurant/,,,,,,,
locavore-nxt,Locavore NXT,ubud,https://locavorenxt.com/,https://www.instagram.com/locavorenxt/,Jl. A.A. Gede Rai;  Gang Pura Panti Bija;  Lodtunduh;  Ubud;  Gianyar;  Bali 80571;  Indonesia,,,,,,
mamu-ubud-cafe-shisha-hookah,MAMU Ubud Cafe Shisha Hookah,ubud,,https://www.instagram.com/mamu_bali/,,,,,,,
mandapa-spa-ubud,Mandapa Spa,ubud,https://www.ritzcarlton.com/en/hotels/dpsub-mandapa-a-ritz-carlton-reserve/overview/,,,,,,,,
mango-tree-spa-loccitane,Mango Tree Spa by L'OCCITANE,ubud,https://www.mangotreespabali.com/,,,,,,,,
maya-ubud-spa-ubud,Maya Ubud Spa & Wellness,ubud,http://mayaresorts.com/ubud/,https://www.instagram.com/mayaubud,,,,,,,
melting-wok-warung,Melting Wok Warung,ubud,https://www.instagram.com/melting_wok_warung/,https://www.instagram.com/melting_wok_warung/,,,,,,,
milk-and-madu-ubud,Milk & Madu Ubud,ubud,https://milkandmadu.com/location/,https://www.instagram.com/milkandmadu/,Jl. Suweta No.3;  Ubud;  Gianyar;  Bali 80571;  Indonesia,,,,,,
mozaic,Mozaic,ubud,https://www.mozaic-bali.com/,https://www.instagram.com/mozaicrestaurantubud/,Jl. Raya Sanggingan;  Kedewatan;  Ubud;  Gianyar;  Bali 80571;  Indonesia,,,,,,
nasi-ayam-kedewatan-ibu-mangku,Nasi Ayam Kedewatan Ibu Mangku — Outlet Pusat Ubud,ubud,,https://www.instagram.com/nasiayamkedewatan/,Jl. Raya Kedewatan No.18;  Kedewatan;  Ubud;  Gianyar;  Bali;  Indonesia,,,,,,
norii-japanese-restaurant-ubud,Norii Japanese Restaurant — Ubud,ubud,http://thewonderspace.com/noriiubud/,https://www.instagram.com/noriibali/,,,,,,,
oneworld-ayurveda,Oneworld Ayurveda,ubud,https://oneworldayurveda.com/ubud/,https://www.instagram.com/oneworldayurveda/,,,,,,,
onion-collective,Onion Collective,ubud,https://theonionco.com/,https://www.instagram.com/theonionco/,,,,,,,
putri-bali-spa,Putri Bali Spa,ubud,https://www.putribalispa.com/,https://www.instagram.com/putribali_spa/,Jl. Raya Sanggingan;  Ubud,,,,,,
pyramids-of-chi,Pyramids of Chi,ubud,https://ubud.pyramidsofchi.com/,https://www.instagram.com/pyramidsofchi/,Jl. Kelebang Moding;  Bentuyung Sari;  Ubud;  Gianyar 80571,,,,,,
radiantly-alive,Radiantly Alive,ubud,https://www.radiantlyalive.com/,https://www.instagram.com/radiantlyaliveyoga/,Jl. Jembawan No. 3;  Ubud;  Gianyar 80571,,,,,,
room4dessert,Room4Dessert,ubud,https://www.room4dessert.com/,https://www.instagram.com/r4d_room4dessert/,Jl. Raya Sanggingan;  Kedewatan;  Ubud;  Gianyar;  Bali 80561;  Indonesia,,,,,,
sacred-river-spa-at-four-seasons-sayan-ubud,Sacred River Spa at Four Seasons Sayan,ubud,https://www.fourseasons.com/sayan/spa/,,,,,,,,
