priority,slug,name,district,official_url,instagram_url,gmaps_short_link,street_address,area_note,latitude,longitude,source_url,source_type,status,note
1,serenity-eco-guesthouse-yoga-canggu,Serenity Eco Guesthouse & Yoga,canggu,https://www.serenitybali.com/,https://www.instagram.com/serenitybali/,,,Nelayan / Canggu,,,,,,
1,seseh-general-store,Seseh General Store,canggu,https://www.sesehgeneralstore.com/,https://www.instagram.com/sesehgeneralstore/,https://maps.app.goo.gl/mWDXxp44kTDPFSpo8,,Seseh / Cemagi / Mengwi / Seseh,,,,,,
1,shelter-restaurant,Shelter Restaurant,canggu,https://www.shelterbali.com/,https://www.instagram.com/shelter.pererenan/,https://maps.app.goo.gl/hZLoJfrHWPwoTzdA9,,Pererenan / Pantai Pererenan,,,,,,
1,shichirin-japanese-restaurant-canggu,Shichirin Japanese Restaurant — Canggu,canggu,http://thewonderspace.com/shichirincanggu/,https://www.instagram.com/shichirincanggu/,,"Jl. Pemelisan Agung Pantai Berawa no.88 Canggu Kuta, Utara, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,soma-fight-club-canggu,SOMA Fight Club,canggu,https://somafightclub.com/,https://www.instagram.com/somafightclub/,,,Canggu,,,,,,
1,spring-spa-canggu,Spring Spa Canggu,canggu,https://springspa.com/,,,,Batu Bolong / Canggu,,,,,,
1,surya-fitness-gym,Surya Fitness Gym,canggu,https://www.suryagymbali.com/,https://www.instagram.com/suryagymbali/,,,,,,,,,
1,sushimi-bali,Sushimi Bali,canggu,http://www.sushimibali.com/,https://www.instagram.com/sushimibali/,,"Jl. Pantai Berawa No.101C, Tibubeneng, Kuta Utara, Badung Regency, Bali 80361, Indonesia",,,,,,,
1,swarna-spa-and-wellness,Swarna Spa and Wellness,canggu,https://swarnaspa.com/,https://www.instagram.com/swarnaspaandwellness/,,,Badung / Pererenan,,,,,,
1,the-avocado-factory,The Avocado Factory,canggu,https://theavocadofactory.com/,https://www.instagram.com/theavocadofactory/,,"Jl. Pantai Batu Mejan, Canggu, Kuta Utara, Badung, Bali 80351, Indonesia","Jl. Pantai Batu Mejan, Canggu, Kuta Utara, Badung, Bali 80351, Indonesia",,,,,,
1,the-canggu-studio-canggu,The Canggu Studio,canggu,https://thecanggustudio.com/,https://www.instagram.com/thecanggustudio/,,,Canggu,,,,,,
1,the-canggu-studio-yoga-canggu,The Canggu Studio Yoga,canggu,https://thecanggustudio.com/,https://www.instagram.com/thecanggustudio/,,,Canggu,,,,,,
1,the-free-bird-studio,The Free Bird Studio,canggu,https://thefreebirdstudio.com/,https://www.instagram.com/the_free_bird_studio/,,,,,,,,,
1,the-practice-bali-canggu,The Practice Bali,canggu,https://thepracticebali.com/,https://www.instagram.com/thepracticebaliyoga/,,,Batu Bolong / Canggu,,,,,,
1,therapy-canggu-canggu,Therapy Canggu,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali/,,,Batu Bolong / Canggu,,,,,,
1,therapy-day-spa-pererenan,Therapy Day Spa Pererenan,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali/,,,Badung / Pererenan,,,,,,
1,therapy-hair-spa-canggu-canggu,Therapy Hair & Spa Canggu,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali,,,Canggu,,,,,,
1,think-pink-nails-canggu-canggu,Think Pink Nails Canggu,canggu,https://www.thinkpinksalon.com/,https://www.instagram.com/thinkpink.salon/,,,Canggu,,,,,,
1,tonic-day-spa-botanicals-canggu,Tonic Day Spa & Botanicals,canggu,https://tonic.co.id/,https://www.instagram.com/tonic.bali/,,,Berawa / Canggu,,,,,,
1,top-gym,Top Gym,canggu,https://topgym.id/canggu,https://www.instagram.com/topgym.bali/,https://maps.app.goo.gl/GUoRP8ULyY1k4YbR8,,,,,,,,
1,tropical-nomad,Tropical Nomad,canggu,https://tropical-nomad-coworking-space.webflow.io/,https://www.instagram.com/tropicalnomadcanggu/,,,Canggu / Canggu shortcut / Subak Canggu,,,,,,
1,two-face-canggu,TWO FACE Canggu,canggu,https://www.twofacebali.com/two-face-canggu,https://www.instagram.com/twofacecoffee/,https://maps.app.goo.gl/eowu8RhR4RAcipYy9,,Canggu / Munduk Catu,,,,,,
1,udara-bali,Udara Bali,canggu,https://www.udara-bali.com/dining/,https://www.instagram.com/udarabali/,https://goo.gl/maps/NaJntBzADYq,,Badung / Seseh (Adjacent Pererenan),,,,,,
1,udara-bali-yoga-detox-and-spa-organic-ocean,Udara Bali Yoga Detox & Spa / Organic Ocean,canggu,https://www.udara-bali.com/,https://www.instagram.com/udarabali/,,,Seseh / Mengwi / Seseh,,,,,,
1,wanderlust-fitness-village-canggu,Wanderlust Fitness Village,canggu,https://wanderlustfitnessvillage.com/,https://www.instagram.com/wanderlustfitnessvillage_bali/,,,Canggu / Padonan,,,,,,
1,warung-bu-mi,Warung Bu Mi,canggu,https://warungbumi.shop/,https://instagram.com/warungbumicanggu,,,Canggu/Batu Bolong/Berawa,,,,,,
1,warung-sika,Warung Sika,canggu,https://warungsika.biz.id/,https://www.instagram.com/warung_sika/,,,,,,,,,
1,warung-yess,Warung Yess,canggu,https://www.warungyess.com/,https://www.instagram.com/warungyess/,,,,,,,,,
1,watercress-berawa,Watercress Berawa,canggu,https://watercressbali.com/,https://www.instagram.com/watercressbali/,https://maps.app.goo.gl/Hmzc6VNVFdFLcG5E9,,"Opposite Bali Equestrian Centre, Berawa, Tibubeneng, Kuta Utara, Badung, Bali, Indonesia",,,,,,
1,woods-bali,Woods Bali,canggu,https://woodsbali.com/,https://www.instagram.com/woodsbali/,https://goo.gl/maps/uDhS9ktvS4XcB2Zy7,,Badung / Pererenan,,,,,,
1,workmates-coworking-space-and-cafe,Workmates Coworking Space & Cafe,canggu,https://thewonderspace.com/workmatescanggu/,,,"Gg. Bonton No.8A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80363, Indonesia",,,,,,,
1,wrong-gym-pererenan,Wrong Gym Pererenan,canggu,https://wronggym.com/,https://www.instagram.com/thewronggym/,,,Pererenan / Mengwi / Pererenan north,,,,,,
1,yuki-canggu,YUKI Canggu,canggu,https://www.yuki-bali.com/canggu,https://www.instagram.com/yukibali_/,https://maps.app.goo.gl/VJjbkT1JaT7hVgAt6,,Canggu / Batu Bolong Beach,,,,,,
1,zin-cafe-canggu,ZIN Cafe Canggu,canggu,https://zin.world/zin-cafe/,https://www.instagram.com/zin_cafe/,,,Canggu / Nelayan,,,,,,
1,alchemy,Alchemy,ubud,https://www.alchemybali.com/,https://www.instagram.com/alchemybali/,https://maps.app.goo.gl/Up8Yt6KLsgNqWuXK7,,"Penestanan, Ubud",,,,,,
1,alchemy-yoga-meditation-center,Alchemy Yoga & Meditation Center,ubud,https://www.alchemyyogacenter.com/,https://www.instagram.com/alchemyyogaubud/,,"Jl. Penestanan Kelod No. 75, Penestanan, Ubud, Gianyar 80571","Jl. Penestanan Kelod No. 75, Penestanan, Ubud, Gianyar 80571",,,,,,
1,alchemy-yoga-and-meditation-center-ubud,Alchemy Yoga and Meditation Center,ubud,https://alchemyyogacenter.com/,https://www.instagram.com/alchemyyogaubud/,,,Penestanan,,,,,,
1,ankhusa-restaurant-ubud-by-wonderspace,Ankhusa Restaurant Ubud by Wonderspace,ubud,http://thewonderspace.com/ankhusabali/,https://www.instagram.com/ankhusabali/,,"Jl. Raya Desa Kenderan No.88 A, Kenderan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",,,,,,,
1,aperitif-restaurant,Apéritif Restaurant,ubud,https://www.aperitif.com/,https://www.instagram.com/aperitifbali/,,"Br. Nagi, Jl. Lanyahan, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Br. Nagi, Jl. Lanyahan, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",,,,,,
1,bali-bohemia,Bali Bohemia,ubud,https://balibohemia.com/restaurant,https://www.instagram.com/rotibohemia/,https://maps.app.goo.gl/KAPgKKWvwd3ewVte7,,Ubud,,,,,,
1,bali-botanica-spa,Bali Botanica by Oneworld Ayurveda,ubud,https://balibotanica.com/,https://www.instagram.com/balibotanicadayspa/,,"Jl. Raya Sanggingan, Kedewatan, Ubud","Jl. Raya Sanggingan, Kedewatan, Ubud",,,,,,
1,bebek-bengil,Bebek Bengil,ubud,https://www.bebekbengil.co.id/en,https://www.instagram.com/bebekbengilrestaurant/,,"Jl. Hanoman, Padang Tegal, Ubud, Gianyar Regency, Bali 80571, Indonesia",,,,,,,
1,big-dragon-villas-ubud,Big Dragon Villas Ubud,ubud,https://bigdragonvillasubud.com/,https://www.instagram.com/bigdragonvillasubud/,,,,,,,,,
1,brie-restaurant-and-cheesery,Brie Restaurant & Cheesery,ubud,https://brie.chaika.team/,https://www.instagram.com/brie.bali/,,"Jl. Penestanan Kelod, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",,,,,,,
1,cantika-zest,Cantika Zest,ubud,http://www.cantikazestbali.com/,https://www.instagram.com/cantikazestspa/,,"Jl. Raya Katik Lantang, Penestanan Kelod, Ubud","Jl. Raya Katik Lantang, Penestanan Kelod, Ubud",,,,,,
1,cantina-classe-ubud,Cantina Classe — Ubud,ubud,https://thewonderspace.com/cantinaubud/,https://www.instagram.com/cantinaclasse/,,"Jl. Drupadi, Melinggih, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",,,,,,,
1,casa-luna,Casa Luna,ubud,https://casalunabali.com/,https://www.instagram.com/casalunabali/,https://maps.app.goo.gl/7zWFe2cwqrDdzdUH6,,Ubud,,,,,,
1,cascades,CasCades,ubud,https://www.cascadesbali.com/,https://www.instagram.com/cascadesbali/,https://maps.app.goo.gl/S1ND6UaAvFaQpnCXA,,Ubud,,,,,,
1,chupacabras,Chupacabras,ubud,https://www.chupacabrasbali.com/,https://www.instagram.com/chupacabrasbali/,https://maps.app.goo.gl/Mmp4RidTuja58DHRA,,,,,,,,
1,como-shambhala-at-como-uma-ubud-yoga-ubud,COMO Shambhala at COMO Uma Ubud Yoga,ubud,https://www.comohotels.com/bali/como-uma-ubud,https://www.instagram.com/comoumaubud/,,,Kedewatan,,,,,,
1,dala-spa-at-alaya-resort-ubud,DaLa Spa at Alaya Resort Ubud,ubud,https://www.alayaresort.com/ubud/spa/,https://www.instagram.com/dalaspa/,,,Pengosekan,,,,,,
