venue_slug,venue_id,original_photo_url,proposed_photo_url,rollback_sql,rollback_required
onion-collective,v_onion-collective,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/onion-collective/e93bf5f7bbded178411c.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/onion-collective/e93bf5f7bbded178411c.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/onion-collective/e93bf5f7bbded178411c.jpg' WHERE id = 'v_onion-collective';,YES
manga-madu,v_manga-madu,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/manga-madu/296ea170ae52213adaeb.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/manga-madu/296ea170ae52213adaeb.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/manga-madu/296ea170ae52213adaeb.jpg' WHERE id = 'v_manga-madu';,YES
udara-bali-yoga-detox-and-spa-organic-ocean,v_import_udara_bali_yoga_detox_and_spa_organic_ocean,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/udara-bali-yoga-detox-and-spa-organic-ocean/04c888b70b3ed53bc9f2.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/udara-bali-yoga-detox-and-spa-organic-ocean/04c888b70b3ed53bc9f2.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/udara-bali-yoga-detox-and-spa-organic-ocean/04c888b70b3ed53bc9f2.jpg' WHERE id = 'v_import_udara_bali_yoga_detox_and_spa_organic_ocean';,YES
donna-ubud,v_donna-ubud,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/donna-ubud/33bcb872478ae2a69c56.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/donna-ubud/33bcb872478ae2a69c56.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/donna-ubud/33bcb872478ae2a69c56.jpg' WHERE id = 'v_donna-ubud';,YES
finns-beach-club,v_finns-beach-club,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/finns-beach-club/0dda91dae3b2358c51df.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/finns-beach-club/0dda91dae3b2358c51df.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/finns-beach-club/0dda91dae3b2358c51df.jpg' WHERE id = 'v_finns-beach-club';,YES
ulekan-berawa,v_import_ulekan_berawa,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulekan-berawa/c2e1119aaf5c88c1b543.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/ulekan-berawa/c2e1119aaf5c88c1b543.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/ulekan-berawa/c2e1119aaf5c88c1b543.jpg' WHERE id = 'v_import_ulekan_berawa';,YES
gelato-secrets-ubud,v_gelato-secrets-ubud,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/gelato-secrets-ubud/9fb7902242711f41ee1e.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/gelato-secrets-ubud/9fb7902242711f41ee1e.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/gelato-secrets-ubud/9fb7902242711f41ee1e.jpg' WHERE id = 'v_gelato-secrets-ubud';,YES
estetica-belle,v_import_estetica_belle,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/estetica-belle/ce0b23122ba651781fdb.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/estetica-belle/ce0b23122ba651781fdb.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/estetica-belle/ce0b23122ba651781fdb.jpg' WHERE id = 'v_import_estetica_belle';,YES
cutiepai-nails,v_import_cutiepai_nails,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/cutiepai-nails/4037b285c2e3092c3774.png,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/cutiepai-nails/4037b285c2e3092c3774.png,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/cutiepai-nails/4037b285c2e3092c3774.png' WHERE id = 'v_import_cutiepai_nails';,YES
fair-warung-bale,v_import_fair_warung_bale,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/fair-warung-bale/3dea8497b859a1804fd3.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/fair-warung-bale/3dea8497b859a1804fd3.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/fair-warung-bale/3dea8497b859a1804fd3.jpg' WHERE id = 'v_import_fair_warung_bale';,YES
