venue_id,venue_name,source_url,source_tier,date_crawled
obs-477687ed91,The Garcia Ubud,https://thegarciaubud.com/cms/storage/app/media/treatment-list-alma-spa-wellness.pdf,official_site,2026-08-25T01:39:11+00:00
obs-477687ed91,The Garcia Ubud,https://thegarciaubud.com/spa-and-wellness/traditional-balinese-massage,official_site,2026-08-25T01:39:11+00:00
obs-1fdc3a4099,Green Tara Spa,https://greentaraspa.com/group/spa-packages,official_site,2026-08-25T01:39:11+00:00
obs-1fdc3a4099,Green Tara Spa,https://greentaraspa.com/our-massages/,official_site,2026-08-25T01:39:11+00:00
obs-f4a86d6d58,Bali Botanica Ubud,https://balibotanica.com/,official_site,2026-08-25T01:39:11+00:00
obs-f4a86d6d58,Bali Botanica Ubud,https://balibotanica.com/packages,official_site,2026-08-25T01:39:11+00:00
obs-f4a86d6d58,Bali Botanica Ubud,https://balibotanica.com/traditional-treatments,official_site,2026-08-25T01:39:11+00:00
obs-f4a86d6d58,Bali Botanica Ubud,https://balibotanica.com/treatments,official_site,2026-08-25T01:39:11+00:00
obs-ede062fd17,Jhagat Spa Centre,https://jhagatspa.com/spa-categories/sole-rejuvenation/,official_site,2026-08-25T01:39:11+00:00
obs-ede062fd17,Jhagat Spa Centre,https://jhagatspa.com/wp-content/uploads/2026/04/Jhagat_Spa_Merged_Menu-1_compressed.pdf,official_site,2026-08-25T01:39:11+00:00
obs-16fe0224f8,Chatraka Spa,https://www.tejapranaresort.com/,official_site,2026-08-25T01:39:11+00:00
obs-16fe0224f8,Chatraka Spa,https://www.tejapranaresort.com/service/treatment-packages,official_site,2026-08-25T01:39:11+00:00
obs-3b90c53a90,Hotel Spa massage,https://www.spadreams.com/hotel/bagus-jati-tegalalang-island-of-bali-87J/,official_site,2026-08-25T01:39:11+00:00
obs-3b90c53a90,Hotel Spa massage,https://www.spadreams.com/spa/koh-samui,official_site,2026-08-25T01:39:11+00:00
obs-3b90c53a90,Hotel Spa massage,https://www.spadreams.com/spa/spa-hotel-with-massage,official_site,2026-08-25T01:39:11+00:00
obs-3b90c53a90,Hotel Spa massage,https://www.spadreams.com/spa/tropical-spa,official_site,2026-08-25T01:39:11+00:00
obs-9b49ae666c,Ubud Home Massage Service,https://www.ubudcenter.com/tegalalang-rice-terrace/,official_site,2026-08-25T01:39:11+00:00
obs-9b49ae666c,Ubud Home Massage Service,https://www.ubudcenter.com/ubud-massage-spa,official_site,2026-08-25T01:39:11+00:00
obs-21fbcf2ac5,Taru Pramana Spa & Wellness,https://balibeachsanur.com,official_site,2026-08-25T01:39:11+00:00
obs-21fbcf2ac5,Taru Pramana Spa & Wellness,https://balibeachsanur.com/hotel-facilities/taru-pramana-spa-wellness,official_site,2026-08-25T01:39:11+00:00
obs-21fbcf2ac5,Taru Pramana Spa & Wellness,https://themerusanur.com,official_site,2026-08-25T01:39:11+00:00
obs-21fbcf2ac5,Taru Pramana Spa & Wellness,https://themerusanur.com/spa-wellness,official_site,2026-08-25T01:39:11+00:00
obs-fca10ad9b2,Leha Leha Spa,https://balilehaleha.com,official_site,2026-08-25T01:39:11+00:00
obs-fca10ad9b2,Leha Leha Spa,https://www.balilehaleha.com/bali-spa-nail-hand-foot-massage-facials-bodyscrub-treatments.html,official_site,2026-08-25T01:39:11+00:00
obs-f3344ec387,Blue Karma Wellness,https://bluekarmasecrets.dijiwasanctuaries.com,official_site,2026-08-25T01:39:11+00:00
obs-f3344ec387,Blue Karma Wellness,https://bluekarmasecrets.dijiwasanctuaries.com/wellness,official_site,2026-08-25T01:39:11+00:00
obs-aba49fde5a,BULGARI SPA MILANO,https://bulgarihotels.com,official_site,2026-08-25T01:39:11+00:00
obs-aba49fde5a,BULGARI SPA MILANO,https://www.bulgarihotels.com/dam/jcr:f090eaf0-6d04-4b3b-b0d4-7f951487bdff/price-list-bulgari-spa-2018.pdf,official_site,2026-08-25T01:39:11+00:00
obs-a4d596779a,Cocoon Medical Spa,https://cocoonmedicalspa.com,official_site,2026-08-25T01:39:11+00:00
